"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"213","Cody White (PIT)","1","1","2","2.0","2","0","0","0","0","0","0","1","0.2","0.2","0.0%"
"214","Quinton Bell (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"215","Tyler Johnson (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"216","Stanley Morgan Jr. (CIN)","0","1","0","0","0","0","0","0","0","0","0","9","0.0","0.0","0.0%"
"217","KeeSean Johnson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"218","Gary Jennings Jr. (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"219","Keelan Doss (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"220","Cody Thompson (SEA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"221","Trinity Benson (DET)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"222","Alex Bachman (HOU)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"223","Malik Taylor (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"224","Davion Davis (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"225","Darrius Shepherd (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"226","Malik Turner (IND)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"227","Hakeem Butler (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"228","Collin Johnson (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"229","J.J. Arcega-Whiteside (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"230","J.J. Koski (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"231","Kristian Wilkerson (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"232","Reggie Roberson Jr. (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"233","Dazz Newsome (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"234","Seth Williams (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"235","Dez Fitzpatrick (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"236","Demetric Felton Jr. (CLE)","2","4","8","4.0","5","0","0","1","-4","0","0","6","0.0","0.0","0.1%"
"237","Dan Chisena (PIT)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"238","Joe Reed (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"239","Charleston Rambo (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"240","John Hightower (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"241","Easop Winston Jr. (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"242","Jaylon Moore (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"243","Scotty Washington (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"244","Isaiah Zuber (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"245","Justyn Ross (KC)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","4.6%"
"246","Isaiah Coulter (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"247","Kirk Merritt (NO)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"248","Ja'Marcus Bradley (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"249","Tarik Black (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"250","Trishton Jackson (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"251","Binjimen Victor (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"252","Lynn Bowden Jr. (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"253","Irvin Charles (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"254","Mike Harley Jr. (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"255","Dre Miller (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"256","Kwamie Lassiter II (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"257","Kendric Pryor (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"258","Kekoa Crawford (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"259","Kaden Davis (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"260","Demario Douglas (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"261","Jesse Matthews (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"262","Gavin Holmes (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"263","Jaray Jenkins (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"264","Bryce Ford-Wheaton (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"265","Jake Bobo (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"266","Jalen Wayne (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"267","Tre Tucker (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"268","Charlie Jones (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"269","Andrei Iosivas (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"270","Derius Davis (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"271","Michael Wilson (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"272","Xavier Hutchinson (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"273","Trey Palmer (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"274","Josh Ali (ATL)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"275","Jalin Hyatt (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.5%"
"276","Cedric Tillman (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"277","Rodney Williams (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"278","Lance McCutcheon (LAR)","0","5","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"279","Tank Dell (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.3%"
"280","Devon Allen (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"281","A.T. Perry (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"282","Dontayvion Wicks (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"283","Mitchell Tinsley (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"284","Raleigh Webb (NE)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"285","Shemar Bridges (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"286","Josh Downs (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.7%"
"287","Chris Pierce Jr. (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"288","Jontre Kirklin (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"289","Derek Wright (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"290","Ra'Shaun Henry (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"291","Kyric McGowan (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"292","Jalen Moreno-Cropper (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"293","Jerome Kapp (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"294","Garett Maag (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"295","Malachi Carter (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"296","Jadakis Bonds (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"297","Taylor Grimes (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"298","Dontay Demus Jr. (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"299","Sean Ryan (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"300","Braxton Burmeister (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"301","Kade Warner (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"302","Ryan Miller (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"303","Tre'Shaun Harrison (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"304","Lucky Jackson (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"305","Dylan Drummond (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"306","Bryan Thompson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"307","Brian Cobbs (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"308","Jose Barbon (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"309","David Durden (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"310","John Stephens Jr. (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"311","Daewood Davis (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"312","Tyrell Shavers (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"313","Chris Coleman (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"314","Tyler Scott (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"315","Pokey Wilson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"316","Terrell Bynum (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"317","Jordan Byrd (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"318","Shaquan Davis (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"319","Cephus Johnson III (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"320","Thayer Thomas (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"321","Jared Wayne (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"322","Grant DuBose (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"323","Jalen Brooks (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"324","Colton Dowell (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"325","Antoine Green (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"326","Matt Landers (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"327","Elijah Cooks (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"328","Kazmeir Allen (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"329","Oliver Martin (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"330","Kody Case (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"331","Jason Brownlee (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"332","Thyrick Pitts (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"333","Cody Chrest (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"334","Johnny King (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"335","T.J. Luther (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"336","Mac Hippenhammer (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"337","Xavier Gipson (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"338","Nikko Remigio (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"339","Ty Scott (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"340","Josh Vann (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"341","Chase Cota (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"342","Shedrick Jackson (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"343","Isaiah Winstead (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"344","Tyler Hudson (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"345","Xavier Malone (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"346","Xavier Smith (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"347","Brycen Tremayne (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"348","Jalen Sample (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"349","Zion Bowens (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"350","Keilahn Harris (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"351","Tyjon Lindsey (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"352","Daniel Arias (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"353","Duece Watts (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"354","Malik Heath (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"355","John Hall (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"356","Cornell Powell (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"357","Austin Watkins Jr. (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"358","John Metchie III (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.3%"
"359","Zay Flowers (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","58.8%"
"360","Jayden Reed (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.5%"
"361","Ronnie Bell (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"362","Rakim Jarrett (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"363","Kayshon Boutte (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"364","Ty Fryfogle (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"365","Jacob Copeland (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"366","Kearis Jackson (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"367","Britain Covey (PHI)","0","0","0","0","0","0","0","0","0","0","0","17","0.0","0.0","0.1%"
"368","Slade Bolden (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"369","Emeka Emezie (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"370","Dontario Drummond (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"371","Joseph Ngata (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"372","Calvin Austin III (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"373","C.J. Saunders (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"374","Johnny Johnson III (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"375","Kalil Pimpleton (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"376","Stanley Berryhill III (DET)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"377","Tanner Conner (MIA)","0","3","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"378","Kaylon Geiger Sr. (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"379","Tay Martin (SF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"380","Bo Melton (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"381","Justin Shorter (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"382","Taye Barber (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"383","Jerrion Ealy (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"384","Rashee Rice (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15.8%"
"385","Milton Wright (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"386","Jordan Addison (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80.7%"
"387","Parker Washington (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"388","Marvin Mims Jr. (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.1%"
"389","Jadon Haselwood (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"390","Jonathan Mingo (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.8%"
"391","Kevin Austin Jr. (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"392","Jaxon Smith-Njigba (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","82.4%"
"393","Quentin Johnston (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","59.9%"
"394","Tre Nixon (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"395","Kawaan Baker (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"396","Brandon Smith (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"397","Blake Proehl (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"398","Jacob Harris (JAC)","1","1","6","6.0","6","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"399","Puka Nacua (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"400","Mathew Sexton (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"401","Josh Gordon (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"402","Eron Riley (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"403","Demario Ballard (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"404","Patrick Edwards (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"405","Albert Wilson (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"406","Nick Williams (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"407","Odell Beckham Jr. (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80.6%"
"408","Maurice Purify (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"409","Matthew Slater (NE)","0","0","0","0","0","0","0","0","0","0","0","8","0.0","0.0","0.0%"
"410","Marko Mitchell (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"411","Kenny McKinley (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"412","Lance Long (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"413","Bobby Wade (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"414","Chris Henry (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"415","Mike Furrey (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"416","Onrea Jones (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"417","Taj Smith (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"418","Rod Harper (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"419","Sam Giguere (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"420","Nate Hughes (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"421","Andre Roberts (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"422","Tanner Gentry (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"423","Tim Patrick (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.5%"
"424","Justin Hardee (NYJ)","0","0","0","0","0","0","0","0","0","0","0","12","0.0","0.0","0.0%"
"425","Marcus Kemp (WAS)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"426","David Moore (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"427","Isaiah Ford (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"428","Jaydon Mickens (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"429","Marken Michel (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"430","Vyncint Smith (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"431","Chris Lacy (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"432","Daurice Fountain (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"433","Keke Coutee (MIA)","1","1","20","20.0","20","1","0","0","0","0","1","7","0.0","0.0","0.0%"
"434","Javon Wims (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"435","Greg Ward (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"436","James Washington (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"437","Trey Quinn (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"438","Deon Cain (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"439","Calvin Ridley (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","96.0%"
"440","Marcell Ateman (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"441","Brandon Zylstra (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"442","Willie Snead IV (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"443","Ty Montgomery (NE)","3","4","15","5.0","7","0","1","2","-2","0","0","1","0.0","0.0","1.0%"
"444","Diontae Spencer (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"445","Alex Erickson (NYJ)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"446","Jakeem Grant Sr. (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"447","Rashard Higgins (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"448","Adam Humphries (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"449","Avery Davis (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"450","Braylon Sanders (MIA)","2","3","17","8.5","13","0","0","0","0","0","1","2","-0.3","-0.2","0.0%"
"451","Ihmir Smith-Marsette (KC)","1","4","15","15.0","15","0","0","1","-1","0","1","4","-0.6","-0.2","0.0%"
"452","Deonte Harty (BUF)","2","2","13","6.5","9","0","0","0","0","0","1","4","-0.7","-0.2","0.2%"
"453","KaVontae Turpin (DAL)","1","2","9","9.0","9","0","0","3","17","0","2","17","-1.4","-0.1","0.2%"
"454","Chester Rogers (FA)","0","0","0","0","0","0","0","0","0","0","1","3","-2.0","-0.7","0.0%"
""
""